"Id","CompetitionId","TagId"
"126","3486","14102"
"336","3526","12116"
"335","3526","14101"
"334","3526","14104"
"362","3706","2606"
"361","3706","4141"
"321","3810","14104"
"322","3810","14202"
"841","3816","13209"
"306","3927","11208"
"305","3927","14104"
"302","3936","12021"
"301","3936","14202"
"128","3947","14102"
"294","3948","12404"
"840","3948","13209"
"295","3948","14101"
"289","3949","12116"
"288","3949","14104"
"287","3949","14201"
"281","3971","2303"
"279","3971","14104"
"280","3971","14201"
"319","3978","3003"
"320","3978","14102"
"318","3978","14202"
"317","4031","14101"
"316","4031","14202"
"314","4032","2501"
"315","4032","14101"
"310","4066","2606"
"360","4066","4141"
"312","4066","14101"
"270","4104","14102"
"269","4104","14201"
"309","4117","12116"
"308","4117","14104"
"307","4117","14202"
"291","4128","2502"
"292","4128","14101"
"290","4128","14202"
"300","4195","14101"
"304","4272","14101"
"303","4272","14203"
"299","4280","12116"
"298","4280","14101"
"286","4294","12116"
"285","4294","14101"
"284","4294","14201"
"297","4332","14101"
"296","4332","14203"
"283","4366","14101"
"282","4366","14201"
"275","4378","14101"
"277","4383","14101"
"251","4406","14102"
"274","4407","12116"
"273","4407","14101"
"267","4438","12027"
"266","4438","14101"
"264","4453","14101"
"263","4453","14202"
"187","4458","11104"
"186","4458","14101"
"185","4458","14202"
"257","4467","12026"
"258","4467","14101"
"256","4467","14203"
"262","4471","8317"
"260","4477","14202"
"254","4481","12027"
"255","4481","14101"
"253","4481","14202"
"244","4487","12027"
"243","4487","14101"
"242","4487","14201"
"248","4488","7404"
"250","4488","14101"
"249","4488","14201"
"246","4493","12027"
"247","4493","14101"
"245","4493","14201"
"241","4495","14101"
"239","4495","14203"
"208","4504","11108"
"209","4504","14101"
"229","4521","3003"
"228","4521","7301"
"226","4521","14102"
"235","4526","14104"
"232","4526","14202"
"236","4526","16113"
"215","4571","12101"
"217","4571","14101"
"216","4571","14104"
"218","4571","14202"
"211","4588","12116"
"212","4588","14101"
"210","4588","14202"
"839","4594","13209"
"238","4594","14101"
"220","4651","13311"
"221","4651","14101"
"219","4651","16467"
"231","4654","14101"
"230","4654","14202"
"223","4657","14101"
"222","4657","14201"
"214","4699","14101"
"225","4704","14101"
"205","4729","4202"
"203","4729","14102"
"199","4829","12116"
"196","4829","14102"
"198","4829","16113"
"193","4852","11129"
"194","4852","14101"
"195","4852","14201"
"191","4853","14101"
"200","4862","2606"
"359","4862","4141"
"202","4862","14101"
"190","4986","11129"
"188","4986","14101"
"189","4986","14201"
"167","5039","7301"
"169","5039","14101"
"168","5039","14202"
"166","5048","12402"
"165","5048","14102"
"184","5056","13311"
"182","5056","14101"
"183","5056","16467"
"146","5127","14102"
"162","5144","4202"
"160","5144","14102"
"171","5174","12116"
"179","5185","2606"
"181","5185","14101"
"180","5185","14201"
"173","5186","7202"
"174","5186","12116"
"175","5186","14101"
"172","5186","14202"
"176","5229","14102"
"158","5260","14101"
"159","5260","16113"
"152","5261","11102"
"151","5261","14101"
"148","5314","14101"
"134","5325","14101"
"133","5325","14203"
"154","5340","11204"
"155","5340","12117"
"156","5340","14101"
"153","5340","14202"
"141","5357","12026"
"142","5357","14101"
"143","5357","14201"
"137","5390","4202"
"138","5390","4302"
"117","5408","14102"
"118","5408","14202"
"113","5441","7301"
"111","5441","14102"
"114","5441","14201"
"125","5497","12116"
"123","5497","14101"
"130","5558","11129"
"132","5558","14101"
"131","5558","14202"
"98","5568","14102"
"101","5568","14202"
"92","5590","8317"
"91","5590","14101"
"346","5590","14104"
"93","5590","14202"
"107","5693","14101"
"106","5693","14104"
"105","5693","14202"
"139","5708","14101"
"140","5708","14202"
"115","5874","11108"
"108","5916","14102"
"109","5916","14202"
"121","5977","14101"
"96","6004","4202"
"94","6004","14102"
"97","6004","14201"
"90","6049","12116"
"89","6049","14102"
"103","6100","2606"
"104","6100","4141"
"74","6116","3003"
"75","6116","7301"
"73","6116","14102"
"79","6243","4202"
"81","6243","14102"
"80","6243","14202"
"85","6277","11208"
"87","6277","12116"
"84","6277","14101"
"83","6277","14104"
"55","6322","12021"
"54","6322","14102"
"70","6392","8317"
"69","6392","11129"
"72","6392","14101"
"71","6392","14203"
"51","6469","7306"
"50","6469","14102"
"61","6538","7301"
"62","6538","7306"
"63","6538","14102"
"66","6539","8301"
"68","6539","14102"
"58","6565","12402"
"60","6565","14101"
"59","6565","14203"
"53","6644","16113"
"3","6649","8317"
"4","6649","11122"
"23","6768","12116"
"24","6768","14101"
"19","6775","14102"
"35","6799","14102"
"450","6818","7301"
"449","6818","14102"
"48","6841","4406"
"45","6841","14104"
"46","6841","14202"
"26","6864","14102"
"25","6864","14211"
"28","6866","14102"
"27","6866","14211"
"30","6867","14102"
"29","6867","14211"
"5","6927","12402"
"18","6927","14102"
"12","6960","14101"
"14","6960","14203"
"358","6961","7301"
"357","6961","14102"
"7","7042","2107"
"6","7042","11208"
"9","7042","14104"
"11","7043","2107"
"10","7043","11208"
"8","7043","14104"
"326","7082","14101"
"327","7082","14201"
"324","7115","14202"
"325","7163","14201"
"352","7299","7402"
"343","7327","7301"
"344","7327","14102"
"342","7327","14202"
"332","7380","7408"
"350","7380","14102"
"331","7380","14201"
"340","7391","14101"
"337","7391","14203"
"338","7391","16113"
"365","7456","14102"
"329","7516","2206"
"330","7516","11208"
"328","7516","14202"
"377","7878","7404"
"378","7878","14101"
"347","7880","7306"
"348","7880","14102"
"349","7880","14202"
"577","7968","13204"
"576","7968","14104"
"354","8076","14104"
"356","8078","14102"
"363","8089","7100"
"371","8310","2606"
"366","8396","14102"
"369","8426","11130"
"370","8426","14201"
"374","8586","14101"
"375","8586","14102"
"373","8586","14104"
"381","9120","11129"
"379","9120","14101"
"382","9301","14105"
"385","9717","11108"
"384","9717","11129"
"397","9840","14101"
"402","9840","14202"
"417","9933","11108"
"420","9933","16373"
"419","9933","16430"
"395","9985","12021"
"394","9985","14101"
"408","9988","14102"
"506","9992","11211"
"505","9992","14102"
"464","9993","13207"
"463","9993","14102"
"565","9994","12016"
"563","9994","14101"
"393","9999","14101"
"406","10012","14104"
"405","10012","14202"
"407","10012","16113"
"390","10025","14104"
"391","10025","14202"
"416","10038","14101"
"415","10038","14203"
"403","10151","7203"
"404","10151","14102"
"400","10170","14101"
"399","10170","14203"
"422","10200","14102"
"466","10300","2303"
"465","10300","14101"
"430","10335","2507"
"431","10335","14101"
"412","10338","12028"
"411","10338","14102"
"426","10384","7401"
"424","10384","14101"
"471","10385","11129"
"472","10385","14101"
"473","10385","14201"
"413","10386","14102"
"414","10386","14202"
"429","10418","13302"
"428","10418","14102"
"446","10445","11129"
"437","10445","14101"
"438","10445","14203"
"459","10684","13203"
"457","10684","14101"
"458","10684","14201"
"455","10686","14102"
"456","10686","14104"
"498","10700","16072"
"443","10733","15002"
"432","10737","14104"
"433","10737","14201"
"461","11000","7200"
"460","11000","7404"
"462","11000","13203"
"436","11848","1219"
"435","11848","12028"
"434","11848","16382"
"445","11880","7301"
"441","11880","14101"
"439","11880","14201"
"474","11999","2606"
"475","11999","4141"
"476","12000","2606"
"477","12000","4141"
"448","12133","14104"
"447","12133","14202"
"490","12500","13204"
"489","12500","14104"
"526","12716","14105"
"468","12797","13204"
"467","12797","14104"
"572","12863","13205"
"571","12863","14104"
"469","12896","14101"
"470","12896","14201"
"491","12961","14102"
"492","12961","14202"
"482","13242","12038"
"480","13242","13203"
"481","13242","14101"
"496","13251","2400"
"495","13251","14102"
"543","13333","7201"
"542","13333","14102"
"483","13435","7000"
"485","13435","7306"
"484","13435","14102"
"559","13451","14102"
"494","13503","12116"
"493","13503","14104"
"536","13578","9109"
"534","13578","14102"
"535","13578","14202"
"537","13578","16010"
"504","13663","1219"
"756","13836","7306"
"754","13836","14102"
"755","13836","14202"
"507","14239","14101"
"508","14239","14201"
"539","14241","12026"
"538","14241","14102"
"509","14242","14101"
"510","14242","14201"
"511","14313","7402"
"512","14313","14101"
"513","14313","14203"
"517","14315","13207"
"516","14315","14102"
"515","14316","13207"
"514","14316","14102"
"520","14420","1219"
"521","14420","7100"
"523","14420","13302"
"522","14420","14102"
"524","14652","14102"
"531","14774","4202"
"530","14774","12028"
"528","14774","14102"
"529","14774","14202"
"556","14859","3004"
"557","14859","13206"
"554","14859","14101"
"555","14859","14203"
"586","14897","14102"
"587","14897","14202"
"544","14999","14101"
"545","14999","14201"
"532","15043","14102"
"540","15447","14104"
"561","15696","2603"
"562","15696","4141"
"552","15768","14102"
"551","16017","13207"
"550","16017","14102"
"664","16245","7105"
"662","16245","13207"
"640","16295","12116"
"639","16295","14104"
"567","16531","2507"
"570","16531","8100"
"568","16531","11105"
"582","16880","14105"
"593","17000","14201"
"580","17233","15002"
"581","17233","16278"
"591","17800","15002"
"592","17800","16278"
"658","18011","2507"
"657","18011","16151"
"616","18045","7100"
"597","18278","7306"
"596","18278","14102"
"667","18278","16574"
"626","18294","7100"
"625","18294","14202"
"598","18329","12101"
"622","18599","13209"
"624","18600","13209"
"608","18601","2606"
"607","18601","14101"
"610","18602","2606"
"609","18602","14101"
"786","18627","7306"
"618","18627","14102"
"656","18647","12028"
"655","18647","14102"
"630","18648","12001"
"629","18648","14102"
"666","18685","12116"
"665","18685","15002"
"638","19018","2107"
"637","19018","14104"
"668","19018","16574"
"736","19059","7203"
"737","19059","7404"
"735","19059","13203"
"677","19205","14102"
"700","19231","13207"
"699","19231","14102"
"702","19233","13207"
"701","19233","14102"
"633","19539","14101"
"631","19539","16575"
"635","19548","14101"
"632","19548","16575"
"690","19596","16072"
"649","19702","14101"
"648","19702","16575"
"653","19853","14101"
"654","19853","16575"
"717","19988","4406"
"716","19988","7100"
"719","19988","14101"
"718","19988","16221"
"671","19989","7306"
"669","19989","14102"
"711","19990","12400"
"708","19990","12402"
"709","19990","14101"
"710","19990","14102"
"679","20009","14102"
"660","20010","14101"
"661","20010","16575"
"685","20270","14102"
"674","20475","14101"
"672","20475","16575"
"694","20604","4202"
"693","20604","14102"
"681","20829","13204"
"684","20829","13205"
"683","20829","14104"
"682","20829","16575"
"728","21651","11105"
"729","21651","14101"
"751","21669","7301"
"749","21669","16072"
"750","21669","16627"
"731","21723","13313"
"730","21723","16151"
"721","22040","12116"
"720","22040","15002"
"727","22111","4309"
"724","22111","7100"
"725","22111","12005"
"726","22111","16575"
"715","22122","2501"
"714","22122","16151"
"723","22307","11111"
"722","22307","14102"
"781","22422","7402"
"782","22422","14102"
"775","22559","13203"
"776","22559","13205"
"744","22804","2603"
"746","22804","4141"
"747","22804","13207"
"745","22804","14105"
"929","22962","7301"
"928","22962","14102"
"748","22990","7100"
"743","22990","11111"
"742","22990","14102"
"837","23249","7401"
"836","23249","13203"
"838","23249","16609"
"752","23304","11108"
"753","23304","14101"
"822","23652","7401"
"825","23652","12000"
"823","23652","13203"
"772","23823","14102"
"773","23823","14202"
"774","23823","16636"
"763","23870","14102"
"764","23870","16636"
"765","24286","14102"
"766","24286","14104"
"767","24286","16281"
"770","24673","14101"
"771","24673","14203"
"769","24800","4202"
"768","24800","14102"
"800","24911","7301"
"799","24911","14102"
"778","25225","14101"
"777","25225","14203"
"780","25226","13404"
"779","25226","14101"
"876","25383","14102"
"785","25558","7306"
"784","25558","14102"
"802","25563","7306"
"801","25563","14102"
"807","25914","14104"
"808","25914","14203"
"806","25925","1219"
"805","25925","14104"
"788","25951","12402"
"787","25951","15002"
"804","25954","7302"
"803","25954","16072"
"797","25980","14102"
"798","25980","16439"
"789","26079","2606"
"790","26079","4141"
"791","26080","2606"
"792","26080","4141"
"793","26082","2606"
"794","26082","4141"
"795","26083","2606"
"796","26083","4141"
"809","26478","13102"
"810","26478","14101"
"811","26478","14201"
"813","26479","13102"
"819","26479","13302"
"812","26479","14101"
"818","26479","14202"
"814","26480","13102"
"817","26480","13302"
"815","26480","14101"
"816","26480","14202"
"829","26680","14102"
"830","26680","16636"
"827","26933","1219"
"826","26933","12117"
"828","26933","13203"
"820","26933","13206"
"821","26933","14101"
"835","27233","11108"
"834","27233","14101"
"906","27923","12028"
"905","27923","14102"
"890","27935","13204"
"891","27935","14104"
"843","28007","7307"
"844","28007","13209"
"842","28007","14101"
"859","28008","11129"
"856","28008","14101"
"858","28008","14203"
"872","28009","14101"
"873","28009","14201"
"877","28010","14101"
"881","28010","14201"
"879","28011","14101"
"880","28012","14101"
"853","29594","7100"
"852","29594","12028"
"851","29594","14101"
"847","29653","4202"
"845","29653","14102"
"846","29653","14201"
"874","29705","14102"
"875","29705","14104"
"864","29761","13207"
"863","29761","14102"
"866","29762","13207"
"865","29762","14102"
"855","30060","2107"
"854","30060","14104"
"871","30067","2507"
"870","30067","16151"
"869","30198","2603"
"868","30198","11111"
"889","30201","7100"
"888","30201","14102"
"883","30894","11108"
"884","30894","13209"
"882","30894","14101"
"903","31254","13311"
"904","31254","16281"
"897","31644","2303"
"896","31644","15002"
"898","31644","16278"
"895","31703","7000"
"894","31703","14102"
"902","31779","13204"
"900","31779","14104"
"901","31779","16409"
"925","32053","11108"
"924","32053","14101"
"920","33101","13209"
"908","33101","14101"
"909","33102","14101"
"927","33103","3004"
"926","33103","13209"
"910","33103","14101"
"911","33104","14101"
"912","33105","14101"
"913","33106","14101"
"991","33107","13304"
"914","33107","14101"
"915","33108","14101"
"916","33109","14101"
"1126","33110","2507"
"1127","33110","13404"
"917","33110","14101"
"2605","33111","13305"
"918","33111","14101"
"934","33246","7302"
"933","33246","16072"
"952","33317","7302"
"951","33317","13206"
"950","33317","14102"
"923","33607","11105"
"922","33607","12028"
"930","33607","13204"
"921","33607","14104"
"957","33657","13204"
"958","33657","14104"
"931","33679","7306"
"932","33679","14102"
"956","33843","7301"
"955","33843","14102"
"962","34349","11108"
"961","34349","14101"
"941","34375","12001"
"940","34375","14102"
"942","34538","2606"
"943","34538","4141"
"945","34542","2606"
"944","34542","4141"
"981","34547","7100"
"1022","34547","13207"
"980","34547","14102"
"960","34970","13207"
"959","34970","14102"
"954","35150","14102"
"953","35150","16439"
"974","35308","13204"
"975","35308","14104"
"976","35308","16409"
"979","35332","11108"
"977","35332","14101"
"978","35332","14201"
"964","35476","7202"
"965","35476","11102"
"963","35476","14101"
"968","35779","1219"
"970","35779","12117"
"967","35779","13203"
"966","35779","13206"
"969","35779","14101"
"973","35887","12107"
"971","35887","13204"
"972","35887","14104"
"1023","36363","13207"
"994","36363","14102"
"995","36363","14201"
"992","36414","14102"
"993","36414","14202"
"1034","37077","7401"
"1035","37077","13203"
"1028","37190","7402"
"998","37244","2603"
"997","37244","4141"
"996","37244","14105"
"986","37333","12028"
"987","37333","13207"
"988","37333","13302"
"984","37333","14102"
"1007","37381","2500"
"1006","37381","2505"
"1002","37381","14211"
"7898","37794","7100"
"7897","37794","14101"
"1004","38128","4406"
"1005","38128","12005"
"1003","38128","14101"
"1037","38257","7401"
"1038","38257","7404"
"1036","38257","14101"
"1012","38321","11105"
"1011","38321","13204"
"1013","38321","16409"
"1488","38760","13311"
"1489","38760","16281"
"1689","39222","14101"
"4436","39272","14201"
"4437","39272","16686"
"1260","39585","11105"
"2109","39585","14101"
"1262","39585","16409"
"4743","40277","2603"
"4742","40277","11111"
"4751","40277","14101"
"4747","40277","14105"
"2687","40898","16151"
"14610","41875","7100"
"4469","41879","15002"
"4470","41879","16278"
"10967","41880","12028"
"10968","41880","13209"
"10969","41880","14202"
"5226","41881","11102"
"5225","41881","14101"
"13609","43873","11105"
"13608","43873","13207"
"13610","43873","14102"
"13611","43873","16409"
"12747","44224","7301"
"11373","44224","7302"
"11371","44224","14202"
"11372","44224","16072"
"7205","44629","8317"
"7214","44629","13102"
"7204","44629","14101"
"7203","44629","14203"
"7213","44630","13102"
"7207","44630","14101"
"7206","44630","14201"
"7208","44630","16378"
"7212","44631","11102"
"7210","44631","13102"
"7209","44631","14101"
"7211","44631","14201"
"7604","44632","13102"
"7602","44632","14101"
"7603","44632","14201"
"7382","45040","2507"
"7383","45040","16151"
"9950","45533","14101"
"9951","45533","14201"
"26762","45867","13302"
"26761","45867","14102"
"8538","45890","13102"
"8539","45890","14101"
"9033","45891","8317"
"8541","45891","13102"
"8542","45891","14101"
"8544","45892","13102"
"8545","45892","14101"
"8546","45892","14201"
"8547","45893","13102"
"8548","45893","14101"
"9118","45893","14203"
"8550","45894","13102"
"8551","45894","14101"
"10353","45917","14102"
"10354","45917","14104"
"10356","45917","17142"
"10730","46105","14202"
"10731","46105","17075"
"13743","46149","7000"
"13744","46149","13207"
"13746","46149","13302"
"13747","46149","14102"
"9783","46801","2606"
"9784","46801","4141"
"11504","47317","9109"
"11505","47317","16706"
"11503","47317","16717"
"11046","47789","13102"
"11047","47789","14101"
"11048","47790","13102"
"11049","47790","14101"
"12140","47790","14203"
"12776","49200","13102"
"12777","49200","14101"
"12949","49200","14201"
"12779","49201","13102"
"12780","49201","14101"
"15187","49201","14202"
"15188","49201","16378"
"14808","49349","13207"
"14809","49349","14102"
"16911","50947","1219"
"16907","50947","12101"
"16910","50947","12107"
"16908","50947","13310"
"25899","51294","2507"
"25896","51294","7100"
"25898","51294","7402"
"25897","51294","12005"
"25900","51294","14203"
"15770","51753","7408"
"15766","51753","13207"
"15697","51959","13102"
"15698","51959","14101"
"37237","51959","14203"
"17386","51982","7404"
"15739","51982","13102"
"15740","51982","14101"
"17998","51983","7301"
"15741","51983","13102"
"15742","51983","14101"
"17997","51983","14203"
"16002","52254","13207"
"16003","52254","14102"
"16594","52279","11111"
"16595","52279","16717"
"17068","52324","16072"
"17069","52324","16683"
"17070","52324","16721"
"17067","52324","16866"
"16556","52732","7408"
"16557","52732","13209"
"16772","52784","11111"
"16770","52784","14101"
"16771","52784","14201"
"16819","52950","17075"
"17382","53376","13102"
"17383","53376","14101"
"17384","53377","13102"
"17385","53377","14101"
"20624","53377","14201"
"20725","53377","16636"
"17446","53482","11105"
"17447","53482","13204"
"17448","53482","16409"
"22765","53666","11111"
"22766","53666","13209"
"22767","53666","14202"
"21878","54662","7404"
"21879","54662","13204"
"25727","56167","1219"
"25728","56167","13310"
"21835","57094","13102"
"22077","57094","13209"
"21836","57094","14101"
"21837","57095","13102"
"23671","57095","13209"
"21838","57095","14101"
"26035","57818","2500"
"26034","57818","2505"
"26033","57818","14211"
"25750","57891","11108"
"25749","57891","14101"
"25451","58266","12101"
"25458","58266","16574"
"25454","58266","17145"
"25928","58266","17148"
"25929","58266","17149"
"24727","59094","4406"
"24728","59094","12005"
"24751","59094","14101"
"24752","59109","13102"
"24866","59109","13202"
"24754","59109","14101"
"26247","59110","7301"
"26248","59110","11111"
"24755","59110","13102"
"24757","59110","14101"
"26246","59110","14202"
"25053","59291","11105"
"25054","59291","13204"
"25055","59291","16409"
"25951","60243","2507"
"25952","60243","16151"
"26550","60890","13102"
"26552","60890","14101"
"26941","60890","14201"
"26943","60891","11111"
"26553","60891","13102"
"26555","60891","14101"
"26942","60891","14201"
"29290","60892","7200"
"26556","60892","13102"
"26558","60892","14101"
"29289","60892","14203"
"26559","60893","13102"
"26560","60893","13209"
"26561","60893","14101"
"27037","61446","11111"
"28909","61446","13207"
"27038","61446","16717"
"27137","61542","11105"
"28063","61542","14201"
"27139","61542","16409"
"28064","61542","16696"
"30405","65704","15002"
"30406","65704","16278"
"31419","65711","11129"
"30414","65711","13102"
"30415","65711","14101"
"31418","65711","14201"
"33120","68479","13102"
"33121","68479","13209"
"33122","68479","14101"
"37238","68479","14202"
